congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
113,house,H000067,Ralph,M.,Hall,,1923-05-03,TX,R,Yes,2013-01-03,89.7
113,house,D000355,John,D.,Dingell,,1926-07-08,MI,D,Yes,2013-01-03,86.5
113,house,C000714,John,,Conyers,Jr.,1929-05-16,MI,D,Yes,2013-01-03,83.6
113,house,S000480,Louise,McIntosh,Slaughter,,1929-08-14,NY,D,Yes,2013-01-03,83.4
113,house,R000053,Charles,B.,Rangel,,1930-06-11,NY,D,Yes,2013-01-03,82.6
113,house,J000174,Sam,Robert,Johnson,,1930-10-11,TX,R,Yes,2013-01-03,82.2
113,house,Y000031,C.,W. Bill,Young,,1930-12-16,FL,R,Yes,2013-01-03,82.1
113,house,C000556,Howard,,Coble,,1931-03-18,NC,R,Yes,2013-01-03,81.8
113,house,L000263,Sander,M.,Levin,,1931-09-06,MI,D,Yes,2013-01-03,81.3
113,house,Y000033,Don,E.,Young,,1933-06-09,AK,R,Yes,2013-01-03,79.6
113,house,J000126,Eddie,Bernice,Johnson,,1935-12-03,TX,D,Yes,2013-01-03,77.1
113,house,H000324,Alcee,L.,Hastings,,1936-09-05,FL,D,Yes,2013-01-03,76.3
113,house,N000179,Grace,F.,Napolitano,,1936-12-04,CA,D,Yes,2013-01-03,76.1
113,house,M000404,Jim,A.,McDermott,,1936-12-28,WA,D,Yes,2013-01-03,76.0
113,house,P000096,Bill,J.,Pascrell,Jr.,1937-01-25,NJ,D,Yes,2013-01-03,75.9
113,house,L000480,Nita,M.,Lowey,,1937-07-05,NY,D,Yes,2013-01-03,75.5
113,house,R000395,Harold,,Rogers,,1937-12-31,KY,R,Yes,2013-01-03,75.0
113,house,C001036,Lois,,Capps,,1938-01-10,CA,D,Yes,2013-01-03,75.0
113,house,W000187,Maxine,,Waters,,1938-08-15,CA,D,Yes,2013-01-03,74.4
113,house,M000508,Howard,P.,McKeon,,1938-09-09,CA,R,Yes,2013-01-03,74.3
113,house,W000672,Frank,R.,Wolf,,1939-01-30,VA,R,Yes,2013-01-03,73.9
113,house,H000874,Steny,H.,Hoyer,,1939-06-14,MD,D,Yes,2013-01-03,73.6
113,house,W000215,Henry,A.,Waxman,,1939-09-12,CA,D,Yes,2013-01-03,73.3
113,house,P000373,Joseph,R.,Pitts,,1939-10-10,PA,R,Yes,2013-01-03,73.2
113,house,L000287,John,R.,Lewis,,1940-02-21,GA,D,Yes,2013-01-03,72.9
113,house,P000197,Nancy,,Pelosi,,1940-03-26,CA,D,Yes,2013-01-03,72.8
113,house,P000265,Thomas,E.,Petri,,1940-05-28,WI,R,Yes,2013-01-03,72.6
113,house,C000537,James,E.,Clyburn,,1940-07-21,SC,D,Yes,2013-01-03,72.5
113,house,P000523,David,E.,Price,,1940-08-17,NC,D,Yes,2013-01-03,72.4
113,house,H000636,Rubén,E.,Hinojosa,,1940-08-20,TX,D,Yes,2013-01-03,72.4
113,house,H000329,Doc,,Hastings,,1941-02-07,WA,R,Yes,2013-01-03,71.9
113,house,L000579,Alan,S.,Lowenthal,,1941-03-08,CA,D,No,2013-01-03,71.8
113,house,R000486,Lucille,,Roybal-Allard,,1941-06-12,CA,D,Yes,2013-01-03,71.6
113,house,H001034,Michael,M.,Honda,,1941-06-27,CA,D,Yes,2013-01-03,71.5
113,house,F000030,Sam,,Farr,,1941-07-04,CA,D,Yes,2013-01-03,71.5
113,house,N000187,Gloria,,Negrete McLeod,,1941-09-06,CA,D,No,2013-01-03,71.3
113,house,D000096,Danny,K.,Davis,,1941-09-06,IL,D,Yes,2013-01-03,71.3
113,house,C001051,John,R.,Carter,,1941-11-06,TX,R,Yes,2013-01-03,71.2
113,house,G000550,Phil,,Gingrey,,1942-07-10,GA,R,Yes,2013-01-03,70.5
113,house,W000808,Frederica,S.,Wilson,,1942-11-05,FL,D,Yes,2013-01-03,70.2
113,house,E000215,Anna,G.,Eshoo,,1942-12-13,CA,D,Yes,2013-01-03,70.1
113,house,G000377,Kay,,Granger,,1943-01-18,TX,R,Yes,2013-01-03,70.0
113,house,M000689,John,L.,Mica,,1943-01-27,FL,R,Yes,2013-01-03,69.9
113,house,J000255,Walter,B.,Jones,Jr.,1943-02-10,NC,R,Yes,2013-01-03,69.9
113,house,D000216,Rosa,L.,DeLauro,,1943-03-02,CT,D,Yes,2013-01-03,69.8
113,house,C001094,Paul,,Cook,,1943-03-03,CA,R,No,2013-01-03,69.8
113,house,W000413,Ed,,Whitfield,,1943-05-25,KY,R,Yes,2013-01-03,69.6
113,house,S000244,F.,James,Sensenbrenner,Jr.,1943-06-14,WI,R,Yes,2013-01-03,69.6
113,house,P000099,Ed,,Pastor,,1943-06-28,AZ,D,Yes,2013-01-03,69.5
113,house,F000450,Virginia,,Foxx,,1943-06-29,NC,R,Yes,2013-01-03,69.5
113,house,S000248,José,E.,Serrano,,1943-10-24,NY,D,Yes,2013-01-03,69.2
113,house,N000127,Richard,M.,Nolan,,1943-12-17,MN,D,No,2013-01-03,69.0
113,house,M000309,Carolyn,,McCarthy,,1944-01-05,NY,D,Yes,2013-01-03,69.0
113,house,K000210,Peter,T.,King,,1944-04-05,NY,R,Yes,2013-01-03,68.7
113,house,D000598,Susan,A.,Davis,,1944-04-13,CA,D,Yes,2013-01-03,68.7
113,house,S001145,Janice,D.,Schakowsky,,1944-05-26,IL,D,Yes,2013-01-03,68.6
113,house,P000258,Collin,Clark,Peterson,,1944-06-29,MN,D,Yes,2013-01-03,68.5
113,house,C001045,Ander,,Crenshaw,,1944-09-01,FL,R,Yes,2013-01-03,68.3
113,house,M001163,Doris,O.,Matsui,,1944-09-25,CA,D,Yes,2013-01-03,68.3
113,house,C001061,Emanuel,,Cleaver,II,1944-10-26,MO,D,Yes,2013-01-03,68.2
113,house,G000559,John,,Garamendi,,1945-01-24,CA,D,Yes,2013-01-03,67.9
113,house,B001227,Robert,A.,Brady,,1945-04-07,PA,D,Yes,2013-01-03,67.7
113,house,M000933,James,P.,Moran,Jr.,1945-05-16,VA,D,Yes,2013-01-03,67.6
113,house,M000725,George,,Miller,,1945-05-17,CA,D,Yes,2013-01-03,67.6
113,house,S001157,David,,Scott,,1945-06-27,GA,D,Yes,2013-01-03,67.5
113,house,R000582,David,P.,Roe,,1945-07-21,TN,R,Yes,2013-01-03,67.5
113,house,B001279,Ron,,Barber,,1945-08-25,AZ,D,Yes,2013-01-03,67.4
113,house,W000207,Melvin,L.,Watt,,1945-08-26,NC,D,Yes,2013-01-03,67.4
113,house,R000576,C.,A. Dutch,Ruppersberger,,1946-01-31,MD,D,Yes,2013-01-03,66.9
113,house,M000087,Carolyn,B.,Maloney,,1946-02-19,NY,D,Yes,2013-01-03,66.9
113,house,T000465,Niki,S.,Tsongas,,1946-04-26,MA,D,Yes,2013-01-03,66.7
113,house,F000372,Rodney,P.,Frelinghuysen,,1946-04-29,NJ,R,Yes,2013-01-03,66.7
113,house,L000554,Frank,A.,LoBiondo,,1946-05-12,NJ,R,Yes,2013-01-03,66.6
113,house,B001262,Paul,C.,Broun,Jr.,1946-05-14,GA,R,Yes,2013-01-03,66.6
113,house,K000009,Marcy,,Kaptur,,1946-06-17,OH,D,Yes,2013-01-03,66.5
113,house,M000133,Edward,J.,Markey,,1946-07-11,MA,D,Yes,2013-01-03,66.5
113,house,L000551,Barbara,,Lee,,1946-07-16,CA,D,Yes,2013-01-03,66.5
113,house,D000399,Lloyd,A.,Doggett,,1946-10-06,TX,D,Yes,2013-01-03,66.2
113,house,B000911,Corrine,,Brown,,1946-11-11,FL,D,Yes,2013-01-03,66.1
113,house,R000515,Bobby,L.,Rush,,1946-11-23,IL,D,Yes,2013-01-03,66.1
113,house,A000361,Rodney,M.,Alexander,,1946-12-05,LA,R,Yes,2013-01-03,66.1
113,house,B000490,Sanford,D.,Bishop,Jr.,1947-02-04,GA,D,Yes,2013-01-03,65.9
113,house,E000179,Eliot,L.,Engel,,1947-02-18,NY,D,Yes,2013-01-03,65.9
113,house,M001180,David,B.,McKinley,,1947-03-28,WV,R,Yes,2013-01-03,65.8
113,house,B001251,George,Kenneth,Butterfield,Jr.,1947-04-27,NC,D,Yes,2013-01-03,65.7
113,house,S000185,Robert,C.,Scott,,1947-04-30,VA,D,Yes,2013-01-03,65.7
113,house,W000800,Peter,,Welch,,1947-05-02,VT,D,Yes,2013-01-03,65.7
113,house,D000191,Peter,A.,DeFazio,,1947-05-27,OR,D,Yes,2013-01-03,65.6
113,house,N000002,Jerrold,L.,Nadler,,1947-06-13,NY,D,Yes,2013-01-03,65.6
113,house,R000409,Dana,T.,Rohrabacher,,1947-06-21,CA,R,Yes,2013-01-03,65.5
113,house,D000533,John,J.,Duncan,Jr.,1947-07-21,TN,R,Yes,2013-01-03,65.5
113,house,W000795,Joe,G.,Wilson,,1947-07-31,SC,R,Yes,2013-01-03,65.4
113,house,P000588,Stevan,E.,Pearce,,1947-08-24,NM,R,Yes,2013-01-03,65.4
113,house,G000553,Al,,Green,,1947-09-01,TX,D,Yes,2013-01-03,65.3
113,house,K000363,John,Paul,Kline,,1947-09-06,MN,R,Yes,2013-01-03,65.3
113,house,G000410,Gene,Eugene,Green,,1947-10-17,TX,D,Yes,2013-01-03,65.2
113,house,Y000062,John,A.,Yarmuth,,1947-11-04,KY,D,Yes,2013-01-03,65.2
113,house,S000583,Lamar,S.,Smith,,1947-11-19,TX,R,Yes,2013-01-03,65.1
113,house,P000599,Bill,,Posey,,1947-12-18,FL,R,Yes,2013-01-03,65.0
113,house,L000397,Zoe,,Lofgren,,1947-12-21,CA,D,Yes,2013-01-03,65.0
113,house,B000013,Spencer,Thomas,Bachus,III,1947-12-28,AL,R,Yes,2013-01-03,65.0
113,house,T000193,Bennie,G.,Thompson,,1948-01-28,MS,D,Yes,2013-01-03,64.9
113,house,G000551,Raúl,M.,Grijalva,,1948-02-19,AZ,D,Yes,2013-01-03,64.9
113,house,K000376,Mike,,Kelly,,1948-05-10,PA,R,Yes,2013-01-03,64.7
113,house,F000462,Lois,,Frankel,,1948-05-16,FL,D,No,2013-01-03,64.6
113,house,C001062,K.,Michael,Conaway,,1948-06-11,TX,R,Yes,2013-01-03,64.6
113,house,L000111,Tom,P.,Latham,,1948-07-14,IA,R,Yes,2013-01-03,64.5
113,house,L000557,John,B.,Larson,,1948-07-22,CT,D,Yes,2013-01-03,64.5
113,house,P000606,Robert,,Pittenger,,1948-08-15,NC,R,No,2013-01-03,64.4
113,house,B000574,Earl,,Blumenauer,,1948-08-16,OR,D,Yes,2013-01-03,64.4
113,house,P000592,Ted,,Poe,,1948-09-10,TX,R,Yes,2013-01-03,64.3
113,house,S001162,Allyson,Y.,Schwartz,,1948-10-03,PA,D,Yes,2013-01-03,64.3
113,house,H001032,Rush,D.,Holt,,1948-10-15,NJ,D,Yes,2013-01-03,64.2
113,house,M001139,Gary,G.,Miller,,1948-10-16,CA,R,Yes,2013-01-03,64.2
113,house,O000169,William,L.,Owens,,1949-01-20,NY,D,Yes,2013-01-03,64.0
113,house,N000015,Richard,E.,Neal,,1949-02-14,MA,D,Yes,2013-01-03,63.9
113,house,W000806,Daniel,,Webster,,1949-04-27,FL,R,Yes,2013-01-03,63.7
113,house,C001053,Tom,,Cole,,1949-04-28,OK,R,Yes,2013-01-03,63.7
113,house,R000011,Nick,J.,Rahall,II,1949-05-20,WV,D,Yes,2013-01-03,63.6
113,house,C001068,Steve,,Cohen,,1949-05-24,TN,D,Yes,2013-01-03,63.6
113,house,K000362,Steve,A.,King,,1949-05-28,IA,R,Yes,2013-01-03,63.6
113,house,T000469,Paul,,Tonko,,1949-06-18,NY,D,Yes,2013-01-03,63.5
113,house,V000108,Peter,J.,Visclosky,,1949-08-13,IN,D,Yes,2013-01-03,63.4
113,house,W000816,Roger,,Williams,,1949-09-13,TX,R,No,2013-01-03,63.3
113,house,B000213,Joe,Linus,Barton,,1949-09-15,TX,R,Yes,2013-01-03,63.3
113,house,E000292,William,L.,Enyart,,1949-09-22,IL,D,No,2013-01-03,63.3
113,house,B000589,John,A.,Boehner,,1949-11-17,OH,R,Yes,2013-01-03,63.1
113,house,N000182,Randy,,Neugebauer,,1949-12-24,TX,R,Yes,2013-01-03,63.0
113,house,J000032,Sheila,,Jackson Lee,,1950-01-12,TX,D,Yes,2013-01-03,63.0
113,house,B001281,Joyce,,Beatty,,1950-03-12,OH,D,No,2013-01-03,62.8
113,house,K000368,Ann,,Kirkpatrick,,1950-03-24,AZ,D,No,2013-01-03,62.8
113,house,C001078,Gerald,E.,Connolly,,1950-03-30,VA,D,Yes,2013-01-03,62.8
113,house,W000796,Lynn,A.,Westmoreland,,1950-04-02,GA,R,Yes,2013-01-03,62.8
113,house,S001175,Jackie,,Speier,,1950-05-14,CA,D,Yes,2013-01-03,62.6
113,house,C001092,Chris,,Collins,,1950-05-20,NY,R,No,2013-01-03,62.6
113,house,T000468,Dina,,Titus,,1950-05-23,NV,D,No,2013-01-03,62.6
113,house,B001242,Timothy,H.,Bishop,,1950-06-01,NY,D,Yes,2013-01-03,62.6
113,house,R000578,David,G.,Reichert,,1950-08-29,WA,R,Yes,2013-01-03,62.3
113,house,S001148,Michael,K.,Simpson,,1950-09-08,ID,R,Yes,2013-01-03,62.3
113,house,E000172,Jo Ann,H.,Emerson,,1950-09-16,MO,R,Yes,2013-01-03,62.3
113,house,B001248,Michael,C.,Burgess,,1950-12-23,TX,R,Yes,2013-01-03,62.0
113,house,B001273,Diane,,Black,,1951-01-16,TN,R,Yes,2013-01-03,62.0
113,house,C000984,Elijah,E.,Cummings,,1951-01-18,MD,D,Yes,2013-01-03,62.0
113,house,T000460,Mike,Michael,Thompson,,1951-01-24,CA,D,Yes,2013-01-03,61.9
113,house,H001051,Richard,L.,Hanna,,1951-01-25,NY,R,Yes,2013-01-03,61.9
113,house,S001165,Albio,,Sires,,1951-01-26,NJ,D,Yes,2013-01-03,61.9
113,house,M001158,Kenny,Ewell,Marchant,,1951-02-23,TX,R,Yes,2013-01-03,61.9
113,house,W000798,Tim,,Walberg,,1951-04-12,MI,R,Yes,2013-01-03,61.7
113,house,M001160,Gwen,,Moore,,1951-04-18,WI,D,Yes,2013-01-03,61.7
113,house,H001050,Colleen,W.,Hanabusa,,1951-05-04,HI,D,Yes,2013-01-03,61.7
113,house,B001260,Vern,,Buchanan,,1951-05-08,FL,R,Yes,2013-01-03,61.7
113,house,N000185,Richard,B.,Nugent,,1951-05-26,FL,R,Yes,2013-01-03,61.6
113,house,M001166,Jerry,,McNerney,,1951-06-18,CA,D,Yes,2013-01-03,61.5
113,house,F000456,John,,Fleming,,1951-07-05,LA,R,Yes,2013-01-03,61.5
113,house,B001250,Rob,,Bishop,,1951-07-13,UT,R,Yes,2013-01-03,61.5
113,house,T000266,John,F.,Tierney,,1951-09-18,MA,D,Yes,2013-01-03,61.3
113,house,B001280,Kerry,L.,Bentivolio,,1951-10-06,MI,R,No,2013-01-03,61.2
113,house,R000487,Edward,R.,Royce,,1951-10-12,CA,R,Yes,2013-01-03,61.2
113,house,S001180,Kurt,,Schrader,,1951-10-19,OR,D,Yes,2013-01-03,61.2
113,house,P000034,Frank,J.,Pallone,Jr.,1951-10-30,NJ,D,Yes,2013-01-03,61.2
113,house,C001037,Michael,E.,Capuano,,1952-01-09,MA,D,Yes,2013-01-03,61.0
113,house,F000445,J.,Randy,Forbes,,1952-02-17,VA,R,Yes,2013-01-03,60.9
113,house,H001063,Janice,,Hahn,,1952-03-30,CA,D,Yes,2013-01-03,60.8
113,house,C001059,Jim,,Costa,,1952-04-13,CA,D,Yes,2013-01-03,60.7
113,house,B001271,Dan,,Benishek,,1952-04-20,MI,R,Yes,2013-01-03,60.7
113,house,L000569,Blaine,,Luetkemeyer,,1952-05-07,MO,R,Yes,2013-01-03,60.7
113,house,B001243,Marsha,W.,Blackburn,,1952-06-06,TN,R,Yes,2013-01-03,60.6
113,house,L000567,Leonard,,Lance,,1952-06-25,NJ,R,Yes,2013-01-03,60.5
113,house,R000435,Ileana,,Ros-Lehtinen,,1952-07-15,FL,R,Yes,2013-01-03,60.5
113,house,H001064,Denny,,Heck,,1952-07-29,WA,D,No,2013-01-03,60.4
113,house,M001179,Tom,,Marino,,1952-08-15,PA,R,Yes,2013-01-03,60.4
113,house,B001285,Julia,,Brownley,,1952-08-28,CA,D,No,2013-01-03,60.4
113,house,K000375,William,R.,Keating,,1952-09-06,MA,D,Yes,2013-01-03,60.3
113,house,M001151,Tim,,Murphy,,1952-09-11,PA,R,Yes,2013-01-03,60.3
113,house,G000289,Bob,W.,Goodlatte,,1952-09-22,VA,R,Yes,2013-01-03,60.3
113,house,F000455,Marcia,L.,Fudge,,1952-10-29,OH,D,Yes,2013-01-03,60.2
113,house,S001170,Carol,,Shea-Porter,,1952-12-02,NH,D,No,2013-01-03,60.1
113,house,L000565,David,,Loebsack,,1952-12-23,IA,D,Yes,2013-01-03,60.0
113,house,C000266,Steve,J.,Chabot,,1953-01-22,OH,R,Yes,2013-01-03,59.9
113,house,S000522,Christopher,H.,Smith,,1953-03-04,NJ,R,Yes,2013-01-03,59.8
113,house,V000081,Nydia,M.,Velázquez,,1953-03-28,NY,D,Yes,2013-01-03,59.8
113,house,C001069,Joe,,Courtney,,1953-04-06,CT,D,Yes,2013-01-03,59.7
113,house,U000031,Fred,Stephen,Upton,,1953-04-23,MI,R,Yes,2013-01-03,59.7
113,house,P000593,Ed,,Perlmutter,,1953-05-01,CO,D,Yes,2013-01-03,59.7
113,house,C000059,Ken,S.,Calvert,,1953-06-08,CA,R,Yes,2013-01-03,59.6
113,house,W000814,Randy,K.,Weber,,1953-07-02,TX,R,No,2013-01-03,59.5
113,house,C001080,Judy,M.,Chu,,1953-07-07,CA,D,Yes,2013-01-03,59.5
113,house,C000071,Dave,Lee,Camp,,1953-07-09,MI,R,Yes,2013-01-03,59.5
113,house,D000482,Michael,F.,Doyle,Jr.,1953-08-05,PA,D,Yes,2013-01-03,59.4
113,house,G000552,Louie,B.,Gohmert,Jr.,1953-08-18,TX,R,Yes,2013-01-03,59.4
113,house,M001137,Gregory,W.,Meeks,,1953-09-25,NY,D,Yes,2013-01-03,59.3
113,house,B001270,Karen,,Bass,,1953-10-03,CA,D,Yes,2013-01-03,59.3
113,house,I000056,Darrell,E.,Issa,,1953-11-01,CA,R,Yes,2013-01-03,59.2
113,house,C001047,Shelley,Moore,Capito,,1953-11-26,WV,R,Yes,2013-01-03,59.1
113,house,G000535,Luis,V.,Gutiérrez,,1953-12-10,IL,D,Yes,2013-01-03,59.1
113,house,F000461,Bill,,Flores,,1954-02-25,TX,R,Yes,2013-01-03,58.9
113,house,B001274,Mo,,Brooks,,1954-04-29,AL,R,Yes,2013-01-03,58.7
113,house,M001150,Candice,S.,Miller,,1954-05-07,MI,R,Yes,2013-01-03,58.7
113,house,L000564,Doug,,Lamborn,,1954-05-24,CO,R,Yes,2013-01-03,58.6
113,house,G000563,Bob,,Gibbs,,1954-06-14,OH,R,Yes,2013-01-03,58.6
113,house,C000754,Jim,,Cooper,,1954-06-19,TN,D,Yes,2013-01-03,58.5
113,house,M001143,Betty,Louise,McCollum,,1954-07-12,MN,D,Yes,2013-01-03,58.5
113,house,L000571,Cynthia,M.,Lummis,,1954-09-10,WY,R,Yes,2013-01-03,58.3
113,house,J000288,Henry,C.,Johnson,Jr.,1954-10-02,GA,D,Yes,2013-01-03,58.3
113,house,P000591,Tom,,Price,,1954-10-08,GA,R,Yes,2013-01-03,58.2
113,house,B001278,Suzanne,,Bonamici,,1954-10-14,OR,D,Yes,2013-01-03,58.2
113,house,S000344,Brad,J.,Sherman,,1954-10-24,CA,D,Yes,2013-01-03,58.2
